"sample_id","habitat","insertsHQ"
"SAMEA2042406","human gut",39578833
"SAMEA2042407","human gut",15600615
"SAMEA2042408","human gut",27425728
"SAMEA2042425","human gut",13101342
"SAMEA2042426","human gut",10886773
"SAMEA2042427","human gut",14131305
"SAMEA2042428","human gut",5647439
"SAMEA2042429","human gut",7570677
"SAMEA2042430","human gut",6051774
"SAMEA2042431","human gut",8223746
"SAMEA2042433","human gut",7249995
"SAMEA2042434","human gut",6685219
"SAMEA2042435","human gut",5732926
"SAMEA2042436","human gut",5758438
"SAMEA2042437","human gut",6691430
"SAMEA2042438","human gut",6813270
"SAMEA2042439","human gut",140523
"SAMEA2042440","human gut",17758241
"SAMEA2042441","human gut",7366
"SAMEA2042442","human gut",13810
"SAMEA2042443","human gut",23221180
"SAMEA2042444","human gut",18389012
"SAMEA2042445","human gut",9515
"SAMEA2042446","human gut",17483440
"SAMEA2042447","human gut",9754
"SAMEA2042448","human gut",26643
"SAMEA2042449","human gut",18757141
"SAMEA2042450","human gut",11342321
"SAMEA2042451","human gut",57841
"SAMEA2042452","human gut",22005887
"SAMEA2042453","human gut",22380174
"SAMEA2042488","human gut",7064262
"SAMEA2042489","human gut",6791368
"SAMEA2042490","human gut",7590966
"SAMEA2042491","human gut",8753227
"SAMEA2042492","human gut",7131926
"SAMEA2042493","human gut",7076414
"SAMEA2042495","human gut",10869570
"SAMEA2042496","human gut",8015248
"SAMEA2042497","human gut",5483794
"SAMEA2042498","human gut",7639013
"SAMEA2042499","human gut",11025505
"SAMEA2042500","human gut",11380006
"SAMEA2042501","human gut",11781206
"SAMEA2042502","human gut",9978236
"SAMEA2042503","human gut",18245877
"SAMEA2042504","human gut",12041058
"SAMEA2042505","human gut",22380461
"SAMEA2042506","human gut",27375048
"SAMEA2042507","human gut",23921749
"SAMEA2042508","human gut",23591044
"SAMEA2042509","human gut",25928710
"SAMEA2042510","human gut",23239212
"SAMEA2042511","human gut",24192045
"SAMEA2042512","human gut",23915114
"SAMEA2042513","human gut",24980174
"SAMEA2042515","human gut",4974594
"SAMEA2042516","human gut",25118470
"SAMEA2042517","human gut",22644267
"SAMEA2042518","human gut",36540313
"SAMEA2042519","human gut",25022685
"SAMEA2042520","human gut",22173991
"SAMEA2042553","human gut",15024247
"SAMEA2042554","human gut",16317605
"SAMEA2042555","human gut",15197149
"SAMEA2042556","human gut",13151404
"SAMEA2042557","human gut",12522693
"SAMEA2042558","human gut",15820799
"SAMEA2042559","human gut",10198906
"SAMEA2042560","human gut",13123760
"SAMEA2042561","human gut",11497100
"SAMEA2042562","human gut",12182037
"SAMEA2042563","human gut",11961338
"SAMEA2042564","human gut",10783684
"SAMEA2042566","human gut",13315727
"SAMEA2042567","human gut",14774540
"SAMEA2042568","human gut",14392410
"SAMEA2042569","human gut",17652411
"SAMEA2042570","human gut",30944630
"SAMEA2042571","human gut",19809078
"SAMEA2042572","human gut",34094301
"SAMEA2042573","human gut",24968166
"SAMEA2042574","human gut",23800082
"SAMEA2042575","human gut",25557246
"SAMEA2042576","human gut",25071433
"SAMEA2042577","human gut",23969082
"SAMEA2042578","human gut",38215917
"SAMEA2042579","human gut",24205333
"SAMEA2042580","human gut",22185755
"SAMEA2042581","human gut",24926931
"SAMEA2042582","human gut",29342303
"SAMEA2042583","human gut",24859580
"SAMEA2042584","human gut",21374346
"SAMEA2042585","human gut",26908053
"SAMEA2042602","human gut",17456422
"SAMEA2042603","human gut",16209910
"SAMEA2042604","human gut",14667690
"SAMEA2042605","human gut",16644854
"SAMEA2042606","human gut",18257394
"SAMEA2042607","human gut",20150825
"SAMEA2042608","human gut",15835101
"SAMEA2042609","human gut",20873558
"SAMEA2042611","human gut",23846617
"SAMEA2042612","human gut",9766612
"SAMEA2042613","human gut",11140985
"SAMEA2042614","human gut",10104025
"SAMEA2042615","human gut",9573869
"SAMEA2042616","human gut",13152988
"SAMEA2042617","human gut",12976857
"SAMEA2042618","human gut",25859196
"SAMEA2042619","human gut",21746843
"SAMEA2042620","human gut",19853042
"SAMEA2042621","human gut",21181213
"SAMEA2042622","human gut",20720839
"SAMEA2042623","human gut",40806868
"SAMEA2042624","human gut",25193059
"SAMEA2042625","human gut",19717394
"SAMEA2042626","human gut",20233218
"SAMEA2042627","human gut",19897945
"SAMEA2042628","human gut",28177041
"SAMEA2042629","human gut",43036971
"SAMEA2042630","human gut",45139666
"SAMEA2042632","human gut",41832501
"SAMEA2042633","human gut",43121288
"SAMEA2042643","human gut",9593134
"SAMEA2042644","human gut",10933950
"SAMEA2042645","human gut",10851079
"SAMEA2042646","human gut",17823575
"SAMEA2042647","human gut",13091966
"SAMEA2042648","human gut",13979807
"SAMEA2042649","human gut",13309582
"SAMEA2042650","human gut",9548986
"SAMEA2042651","human gut",10216464
"SAMEA2042653","human gut",11488517
"SAMEA2042654","human gut",21305604
"SAMEA2042655","human gut",24256956
"SAMEA2042656","human gut",10066486
"SAMEA2042657","human gut",9717641
"SAMEA2042658","human gut",9212356
"SAMEA2042659","human gut",27723536
"SAMEA2042660","human gut",29565071
"SAMEA2042661","human gut",25192580
"SAMEA2042662","human gut",576452
"SAMEA2042663","human gut",1443868
"SAMEA2042664","human gut",20425
"SAMEA2042665","human gut",52102
"SAMEA2042729","human gut",8916568
"SAMEA2042730","human gut",9463502
