"Term_ID","Term_Label","Parent_ID","Parent_Label","geneclass"
"ARO:3002424","OKP-A-7","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001374","TEM-185","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002405","OXY-2-10","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001099","SHV-41","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001981","CTX-M-122","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001925","CTX-M-64","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001965","CTX-M-105","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002663","APH(9)-Ib","ARO:3000153","APH(9)","aph"
"ARO:3005588","CARB-54","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002316","KPC-6","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002318","KPC-8","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002374","VEB-6","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001944","CTX-M-83","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002432","OKP-A-15","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002325","KPC-15","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008789","OXY-2-18","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002403","OXY-2-8","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3004117","Vibrio cholerae OmpU","ARO:3000270","protein modulating permeability to antibiotic","permeability modulation"
"ARO:3002464","LEN-16","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002271","VIM-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3002472","LEN-4","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3003169","CTX-M-161","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002426","OKP-A-9","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002468","LEN-21","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001071","SHV-12","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3004118","Vibrio cholerae OmpT","ARO:3000270","protein modulating permeability to antibiotic","permeability modulation"
"ARO:3001042","TEM-177","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002489","LRA-10","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002934","vanS gene in vanD cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3006933","LEN-28","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3000616","mel","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"ARO:3002095","CMY-82","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006244","ACT-49","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006480","PDC-100","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3000572","tet(42)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ARO:3002127","CMY-116","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
