"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1790","ARO:3005680","GOB-31","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1791","ARO:3008526","OXA-1108","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1792","ARO:3008473","OXA-1055","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1793","ARO:3002408","OXY-2-13","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1794","ARO:3005495","VIM-47","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1795","ARO:3008192","GIM-3","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1796","ARO:3005675","GOB-26","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1797","ARO:3002486","LRA-7","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1798","ARO:3008736","OXA-959","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1799","ARO:3005686","GOB-37","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1800","ARO:3006217","VEB-22","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
