sample_id	original_name	habitat	GCfrac	basepairsHQ	basepairsRaw	insertsHQ	insertsRaw	nr_orfs	latitude	longitude	income_group	country
SAMN06172452	ExDogA03	dog gut	0.4099187229376615	18463521280	21968368128	81592235	87176064	344608	38.627	-90.1994	High income	United States of America
SAMN06172414	ExDogA04	dog gut	0.4379882922009181	16662529609	20720857752	75650328	82225626	271684	38.627	-90.1994	High income	United States of America
SAMN06172487	ExDogA05	dog gut	0.4280531283352724	25957284367	30339815688	113756773	120396094	364241	38.627	-90.1994	High income	United States of America
SAMN06172509	ExDogA06	dog gut	0.4402083853492089	15335051388	19368423396	69867435	76858823	344954	38.627	-90.1994	High income	United States of America
SAMN06172406	ExDogA07	dog gut	0.4446135999864529	17116133857	21076225632	77212562	83635816	428359	38.627	-90.1994	High income	United States of America
SAMN06172430	ExDogA08	dog gut	0.43381138979139017	21523231542	25813819584	95353033	102435792	334291	38.627	-90.1994	High income	United States of America
SAMN06172519	ExDogA09	dog gut	0.4673088554111415	12859908117	16016006160	58190680	63555580	236008	38.627	-90.1994	High income	United States of America
SAMN06172440	ExDogA10	dog gut	0.4234185081421411	14912919293	18203015124	66606098	72234187	302926	38.627	-90.1994	High income	United States of America
SAMN06172499	ExDogA11	dog gut	0.42148986730874577	16477829511	19491742620	72620178	77348185	326253	38.627	-90.1994	High income	United States of America
SAMN06172479	ExDogA12	dog gut	0.4274671274493853	22618541140	27485057124	101684697	109067687	214203	38.627	-90.1994	High income	United States of America
SAMN06172505	ExDogA13	dog gut	0.4435012390456499	16129103658	19066660200	71008215	75661350	221802	38.627	-90.1994	High income	United States of America
SAMN06172485	ExDogA14	dog gut	0.4461690454732191	12309532101	15425414424	55887969	61211962	366076	38.627	-90.1994	High income	United States of America
SAMN06172450	ExDogA15	dog gut	0.44019848802868217	14842485561	18179221284	66674485	72139767	341239	38.627	-90.1994	High income	United States of America
SAMN06172426	ExDogA16	dog gut	0.4549454654492203	11183325062	13684519044	50135913	54303647	276148	38.627	-90.1994	High income	United States of America
SAMN06172513	ExDogA17	dog gut	0.4507207243002949	12678600500	15644299356	57127335	62080553	432905	38.627	-90.1994	High income	United States of America
SAMN06172461	ExDogA18	dog gut	0.44725342514033617	20210275944	23814215712	88823670	94500856	260206	38.627	-90.1994	High income	United States of America
SAMN06172438	ExDogA19	dog gut	0.4363491441178624	8896398420	11339541612	40989901	44998181	340429	38.627	-90.1994	High income	United States of America
SAMN06172410	ExDogA20	dog gut	0.43203770075342	11668608662	14910188832	54151744	59167416	370513	38.627	-90.1994	High income	United States of America
SAMN06172422	ExDogA21	dog gut	0.4277058096010574	16599261739	19526318280	72949956	77485390	310071	38.627	-90.1994	High income	United States of America
SAMN06172489	ExDogA22	dog gut	0.4404622802465309	11706235619	14281758792	52416270	56673646	271157	38.627	-90.1994	High income	United States of America
SAMN06172469	ExDogA23	dog gut	0.42371402068276826	9895448405	12433935780	45056143	49341015	278042	38.627	-90.1994	High income	United States of America
SAMN06172432	ExDogA24	dog gut	0.4318507218506485	11360427989	14160507228	51555051	56192489	229094	38.627	-90.1994	High income	United States of America
SAMN06172416	ExDogA25	dog gut	0.4309687787002641	14197019054	17121499416	63191405	67942458	370255	38.627	-90.1994	High income	United States of America
SAMEA103957794	ExDogA26	dog gut	0.4327384538438721	14953845164	17810915976	65890330	70678238	346531	38.627	-90.1994	High income	United States of America
